Channel              :,CH1,CH2
Frequency            :,300.3Hz,2.510KHz
Period               :,3.330ms,0.398ms
PK-PK                :,18.24V,3.720V
Average              :,-31.47mV,-64.03mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,1040.000000,-400.000000
2,1120.000000,-320.000000
3,1200.000000,-200.000000
4,1360.000000,-120.000000
5,1520.000000,0.000000
6,1600.000000,80.000000
7,1760.000000,200.000000
8,2000.000000,320.000000
9,2160.000000,440.000000
10,2320.000000,520.000000
11,2560.000000,600.000000
12,2800.000000,720.000000
13,2960.000000,800.000000
14,3200.000000,920.000000
15,3440.000000,1000.000000
16,3760.000000,1080.000000
17,4000.000000,1160.000000
18,4240.000000,1240.000000
19,4480.000000,1320.000000
20,4720.000000,1360.000000
21,4960.000000,1440.000000
22,5280.000000,1480.000000
23,5520.000000,1520.000000
24,5760.000000,1560.000000
25,6000.000000,1600.000000
26,6240.000000,1640.000000
27,6480.000000,1640.000000
28,6720.000000,1640.000000
29,6960.000000,1680.000000
30,7120.000000,1680.000000
31,7360.000000,1640.000000
32,7600.000000,1640.000000
33,7760.000000,1640.000000
34,7920.000000,1600.000000
35,8080.000000,1560.000000
36,8240.000000,1520.000000
37,8320.000000,1440.000000
38,8480.000000,1400.000000
39,8560.000000,1360.000000
40,8640.000000,1280.000000
41,8720.000000,1200.000000
42,8720.000000,1120.000000
43,8800.000000,1040.000000
44,8800.000000,920.000000
45,8800.000000,840.000000
46,8800.000000,720.000000
47,8720.000000,640.000000
48,8640.000000,520.000000
49,8560.000000,400.000000
50,8480.000000,320.000000
51,8400.000000,200.000000
52,8320.000000,80.000000
53,8160.000000,-40.000000
54,8000.000000,-160.000000
55,7840.000000,-240.000000
56,7680.000000,-400.000000
57,7440.000000,-520.000000
58,7280.000000,-600.000000
59,7040.000000,-720.000000
60,6880.000000,-800.000000
61,6560.000000,-920.000000
62,6320.000000,-1040.000000
63,6080.000000,-1120.000000
64,5840.000000,-1200.000000
65,5600.000000,-1320.000000
66,5280.000000,-1440.000000
67,5040.000000,-1480.000000
68,4720.000000,-1560.000000
69,4480.000000,-1600.000000
70,4160.000000,-1680.000000
71,3920.000000,-1760.000000
72,3680.000000,-1800.000000
73,3360.000000,-1840.000000
74,3120.000000,-1840.000000
75,2880.000000,-1880.000000
76,2560.000000,-1920.000000
77,2320.000000,-1920.000000
78,2080.000000,-1920.000000
79,1840.000000,-1920.000000
80,1680.000000,-1920.000000
81,1440.000000,-1880.000000
82,1280.000000,-1880.000000
83,1040.000000,-1840.000000
84,880.000000,-1800.000000
85,720.000000,-1720.000000
86,560.000000,-1680.000000
87,400.000000,-1600.000000
88,240.000000,-1560.000000
89,80.000000,-1440.000000
90,-160.000000,-1400.000000
91,-320.000000,-1320.000000
92,-480.000000,-1240.000000
93,-640.000000,-1120.000000
94,-880.000000,-1040.000000
95,-1040.000000,-960.000000
96,-1200.000000,-880.000000
97,-1360.000000,-800.000000
98,-1520.000000,-680.000000
99,-1680.000000,-600.000000
100,-1840.000000,-520.000000
101,-2000.000000,-440.000000
102,-2160.000000,-360.000000
103,-2320.000000,-280.000000
104,-2480.000000,-200.000000
105,-2640.000000,-120.000000
106,-2800.000000,-80.000000
107,-2880.000000,0.000000
108,-2960.000000,40.000000
109,-3040.000000,120.000000
110,-3120.000000,160.000000
111,-3120.000000,200.000000
112,-3200.000000,240.000000
113,-3200.000000,320.000000
114,-3280.000000,320.000000
115,-3280.000000,360.000000
116,-3280.000000,400.000000
117,-3280.000000,440.000000
118,-3280.000000,440.000000
119,-3280.000000,440.000000
120,-3280.000000,480.000000
121,-3280.000000,480.000000
122,-3280.000000,480.000000
123,-3280.000000,480.000000
124,-3280.000000,480.000000
125,-3200.000000,480.000000
126,-3280.000000,480.000000
127,-3280.000000,480.000000
128,-3280.000000,440.000000
129,-3280.000000,440.000000
130,-3280.000000,400.000000
131,-3280.000000,360.000000
132,-3280.000000,360.000000
133,-3280.000000,320.000000
134,-3360.000000,280.000000
135,-3360.000000,240.000000
136,-3440.000000,200.000000
137,-3440.000000,160.000000
138,-3520.000000,160.000000
139,-3520.000000,80.000000
140,-3600.000000,40.000000
141,-3680.000000,40.000000
142,-3760.000000,-40.000000
143,-3840.000000,-80.000000
144,-3920.000000,-120.000000
145,-4000.000000,-160.000000
146,-4080.000000,-200.000000
147,-4160.000000,-280.000000
148,-4240.000000,-320.000000
149,-4400.000000,-360.000000
150,-4480.000000,-400.000000
151,-4560.000000,-440.000000
152,-4720.000000,-480.000000
153,-4800.000000,-520.000000
154,-4960.000000,-560.000000
155,-5040.000000,-600.000000
156,-5120.000000,-640.000000
