Channel              :,CH1,CH2
Frequency            :,2.507KHz,2.507KHz
Period               :,0.399ms,0.399ms
PK-PK                :,9.520V,3.320V
Average              :,-86.74mV,-56.71mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,1760.000000,-520.000000
2,1600.000000,-600.000000
3,1440.000000,-720.000000
4,1200.000000,-800.000000
5,1040.000000,-880.000000
6,800.000000,-960.000000
7,560.000000,-1040.000000
8,400.000000,-1120.000000
9,160.000000,-1160.000000
10,-80.000000,-1240.000000
11,-320.000000,-1280.000000
12,-560.000000,-1360.000000
13,-720.000000,-1400.000000
14,-960.000000,-1440.000000
15,-1200.000000,-1480.000000
16,-1440.000000,-1520.000000
17,-1680.000000,-1520.000000
18,-1840.000000,-1560.000000
19,-2080.000000,-1560.000000
20,-2320.000000,-1560.000000
21,-2480.000000,-1560.000000
22,-2720.000000,-1560.000000
23,-2880.000000,-1560.000000
24,-3040.000000,-1520.000000
25,-3200.000000,-1520.000000
26,-3360.000000,-1480.000000
27,-3520.000000,-1480.000000
28,-3600.000000,-1400.000000
29,-3760.000000,-1360.000000
30,-3840.000000,-1280.000000
31,-3920.000000,-1240.000000
32,-4000.000000,-1160.000000
33,-4080.000000,-1120.000000
34,-4080.000000,-1040.000000
35,-4080.000000,-960.000000
36,-4080.000000,-880.000000
37,-4160.000000,-800.000000
38,-4080.000000,-680.000000
39,-4080.000000,-600.000000
40,-4000.000000,-520.000000
41,-4000.000000,-400.000000
42,-3920.000000,-320.000000
43,-3760.000000,-200.000000
44,-3680.000000,-120.000000
45,-3600.000000,0.000000
46,-3440.000000,80.000000
47,-3280.000000,160.000000
48,-3120.000000,280.000000
49,-2960.000000,360.000000
50,-2800.000000,480.000000
51,-2560.000000,600.000000
52,-2400.000000,680.000000
53,-2160.000000,760.000000
54,-2000.000000,840.000000
55,-1760.000000,920.000000
56,-1520.000000,1000.000000
57,-1280.000000,1080.000000
58,-1040.000000,1160.000000
