Channel              :,CH1,CH2
Frequency            :,2.513KHz,2.513KHz
Period               :,0.398ms,0.398ms
PK-PK                :,10.64V,4.160V
Average              :,-88.00mV,-57.29mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,3680.000000,1440.000000
2,3840.000000,1360.000000
3,3920.000000,1280.000000
4,4000.000000,1240.000000
5,4080.000000,1120.000000
6,4160.000000,1040.000000
7,4240.000000,960.000000
8,4240.000000,840.000000
9,4240.000000,760.000000
10,4240.000000,640.000000
11,4240.000000,560.000000
12,4160.000000,440.000000
13,4080.000000,320.000000
14,4000.000000,200.000000
15,3920.000000,120.000000
16,3840.000000,0.000000
17,3680.000000,-80.000000
18,3600.000000,-240.000000
19,3440.000000,-360.000000
20,3200.000000,-480.000000
21,3040.000000,-560.000000
22,2880.000000,-680.000000
23,2640.000000,-760.000000
24,2400.000000,-880.000000
25,2160.000000,-1000.000000
26,2000.000000,-1080.000000
27,1680.000000,-1160.000000
28,1440.000000,-1280.000000
29,1200.000000,-1360.000000
30,960.000000,-1400.000000
31,640.000000,-1480.000000
32,400.000000,-1560.000000
33,160.000000,-1600.000000
34,-80.000000,-1680.000000
35,-400.000000,-1720.000000
36,-640.000000,-1760.000000
37,-960.000000,-1800.000000
38,-1200.000000,-1800.000000
39,-1440.000000,-1840.000000
40,-1680.000000,-1840.000000
41,-1920.000000,-1840.000000
42,-2160.000000,-1840.000000
43,-2400.000000,-1800.000000
44,-2560.000000,-1800.000000
45,-2800.000000,-1760.000000
46,-2960.000000,-1760.000000
47,-3120.000000,-1720.000000
48,-3280.000000,-1640.000000
49,-3440.000000,-1600.000000
50,-3600.000000,-1560.000000
51,-3680.000000,-1480.000000
52,-3760.000000,-1400.000000
53,-3840.000000,-1320.000000
54,-3920.000000,-1240.000000
55,-4000.000000,-1160.000000
56,-4000.000000,-1040.000000
57,-4000.000000,-960.000000
58,-4000.000000,-840.000000
59,-4000.000000,-760.000000
60,-3920.000000,-640.000000
61,-3920.000000,-560.000000
62,-3840.000000,-440.000000
63,-3760.000000,-320.000000
64,-3600.000000,-200.000000
65,-3440.000000,-80.000000
66,-3360.000000,40.000000
67,-3200.000000,160.000000
68,-3040.000000,280.000000
69,-2800.000000,400.000000
70,-2640.000000,520.000000
71,-2400.000000,640.000000
72,-2160.000000,720.000000
73,-1920.000000,840.000000
74,-1680.000000,920.000000
75,-1440.000000,1040.000000
76,-1120.000000,1120.000000
77,-880.000000,1200.000000
78,-640.000000,1280.000000
79,-400.000000,1400.000000
80,-80.000000,1440.000000
81,240.000000,1520.000000
82,560.000000,1600.000000
83,800.000000,1640.000000
