Channel              :,CH1,CH2
Frequency            :,2.513KHz,2.517KHz
Period               :,0.398ms,0.397ms
PK-PK                :,10.40V,4.200V
Average              :,-81.00mV,-57.03mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,3840.000000,1600.000000
2,4000.000000,1520.000000
3,4160.000000,1440.000000
4,4240.000000,1360.000000
5,4320.000000,1280.000000
6,4480.000000,1200.000000
7,4480.000000,1080.000000
8,4560.000000,1000.000000
9,4560.000000,920.000000
10,4640.000000,800.000000
11,4640.000000,720.000000
12,4560.000000,640.000000
13,4560.000000,480.000000
14,4480.000000,360.000000
15,4400.000000,240.000000
16,4320.000000,120.000000
17,4160.000000,0.000000
18,4000.000000,-120.000000
19,3920.000000,-240.000000
20,3680.000000,-360.000000
21,3520.000000,-480.000000
22,3360.000000,-600.000000
23,3120.000000,-720.000000
24,2960.000000,-800.000000
25,2720.000000,-1000.000000
26,2480.000000,-1040.000000
27,2240.000000,-1120.000000
28,1920.000000,-1240.000000
29,1680.000000,-1320.000000
30,1440.000000,-1400.000000
31,1120.000000,-1480.000000
32,800.000000,-1560.000000
33,560.000000,-1640.000000
34,240.000000,-1680.000000
35,0.000000,-1760.000000
36,-320.000000,-1800.000000
37,-560.000000,-1840.000000
38,-880.000000,-1920.000000
39,-1120.000000,-1920.000000
40,-1440.000000,-1920.000000
41,-1680.000000,-1960.000000
42,-1920.000000,-1960.000000
43,-2160.000000,-1960.000000
44,-2400.000000,-1920.000000
45,-2640.000000,-1920.000000
46,-2880.000000,-1880.000000
47,-3040.000000,-1840.000000
48,-3280.000000,-1800.000000
49,-3440.000000,-1760.000000
50,-3600.000000,-1720.000000
51,-3680.000000,-1640.000000
52,-3840.000000,-1560.000000
53,-3920.000000,-1480.000000
54,-4080.000000,-1400.000000
55,-4080.000000,-1320.000000
56,-4160.000000,-1240.000000
57,-4160.000000,-1120.000000
58,-4240.000000,-1040.000000
59,-4240.000000,-920.000000
60,-4160.000000,-840.000000
61,-4160.000000,-680.000000
62,-4080.000000,-600.000000
63,-4000.000000,-480.000000
64,-3920.000000,-360.000000
65,-3840.000000,-200.000000
66,-3680.000000,-80.000000
67,-3520.000000,40.000000
68,-3360.000000,120.000000
69,-3200.000000,280.000000
70,-2960.000000,400.000000
71,-2800.000000,520.000000
72,-2560.000000,640.000000
73,-2320.000000,760.000000
74,-2080.000000,840.000000
75,-1840.000000,960.000000
76,-1520.000000,1080.000000
77,-1280.000000,1160.000000
78,-960.000000,1240.000000
79,-720.000000,1360.000000
80,-400.000000,1440.000000
81,-160.000000,1520.000000
82,160.000000,1600.000000
83,480.000000,1640.000000
84,800.000000,1720.000000
85,1120.000000,1760.000000
86,1360.000000,1800.000000
87,1680.000000,1840.000000
88,2000.000000,1880.000000
89,2240.000000,1920.000000
90,2560.000000,1920.000000
91,2800.000000,1920.000000
92,3040.000000,1920.000000
93,3280.000000,1880.000000
94,3520.000000,1880.000000
95,3760.000000,1840.000000
96,4000.000000,1800.000000
97,4160.000000,1760.000000
98,4320.000000,1720.000000
99,4480.000000,1640.000000
100,4640.000000,1600.000000
101,4720.000000,1520.000000
102,4720.000000,1440.000000
103,4720.000000,1360.000000
104,4720.000000,1240.000000
105,4640.000000,1160.000000
106,4640.000000,1040.000000
107,4640.000000,920.000000
108,4640.000000,840.000000
109,4560.000000,680.000000
110,4560.000000,520.000000
111,4560.000000,440.000000
112,4480.000000,280.000000
113,4400.000000,160.000000
114,4240.000000,40.000000
115,4160.000000,-80.000000
116,4000.000000,-240.000000
117,3840.000000,-360.000000
118,3600.000000,-480.000000
119,3440.000000,-600.000000
120,3200.000000,-720.000000
121,2960.000000,-880.000000
122,2720.000000,-1000.000000
123,2480.000000,-1080.000000
124,2240.000000,-1200.000000
125,1920.000000,-1320.000000
126,1680.000000,-1400.000000
127,1360.000000,-1520.000000
128,1040.000000,-1600.000000
129,800.000000,-1680.000000
130,480.000000,-1760.000000
131,160.000000,-1840.000000
132,-160.000000,-1880.000000
133,-480.000000,-1960.000000
134,-720.000000,-2000.000000
135,-1040.000000,-2040.000000
136,-1360.000000,-2040.000000
137,-1600.000000,-2080.000000
138,-1920.000000,-2120.000000
139,-2160.000000,-2120.000000
140,-2480.000000,-2120.000000
141,-2720.000000,-2080.000000
142,-2960.000000,-2080.000000
143,-3200.000000,-2040.000000
144,-3360.000000,-2000.000000
145,-3600.000000,-1960.000000
146,-3760.000000,-1880.000000
147,-3920.000000,-1840.000000
148,-4080.000000,-1760.000000
149,-4240.000000,-1640.000000
