Channel              :,CH1,CH2
Frequency            :,2.527KHz,2.527KHz
Period               :,0.396ms,0.396ms
PK-PK                :,10.24V,4.200V
Average              :,-78.95mV,-56.53mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-3200.000000,1040.000000
2,-2880.000000,1120.000000
3,-2560.000000,1240.000000
4,-2240.000000,1320.000000
5,-1920.000000,1400.000000
6,-1520.000000,1480.000000
7,-1200.000000,1520.000000
8,-880.000000,1600.000000
9,-560.000000,1680.000000
10,-160.000000,1720.000000
11,160.000000,1760.000000
12,480.000000,1800.000000
13,800.000000,1840.000000
14,1120.000000,1880.000000
15,1440.000000,1880.000000
16,1760.000000,1920.000000
17,2080.000000,1920.000000
18,2320.000000,1920.000000
19,2640.000000,1920.000000
20,2880.000000,1880.000000
21,3120.000000,1840.000000
22,3360.000000,1800.000000
23,3600.000000,1800.000000
24,3760.000000,1720.000000
25,4000.000000,1680.000000
26,4160.000000,1640.000000
27,4320.000000,1560.000000
28,4480.000000,1480.000000
29,4560.000000,1400.000000
30,4640.000000,1320.000000
31,4640.000000,1240.000000
32,4640.000000,1120.000000
33,4640.000000,1000.000000
34,4560.000000,920.000000
35,4560.000000,800.000000
36,4560.000000,680.000000
37,4560.000000,560.000000
38,4560.000000,440.000000
39,4480.000000,320.000000
40,4400.000000,200.000000
41,4320.000000,40.000000
42,4160.000000,-80.000000
43,4000.000000,-200.000000
44,3840.000000,-320.000000
45,3680.000000,-440.000000
46,3520.000000,-560.000000
47,3280.000000,-680.000000
48,3040.000000,-800.000000
49,2800.000000,-920.000000
50,2560.000000,-1040.000000
51,2320.000000,-1160.000000
52,2080.000000,-1240.000000
53,1760.000000,-1360.000000
54,1520.000000,-1440.000000
55,1200.000000,-1520.000000
56,960.000000,-1600.000000
57,640.000000,-1680.000000
58,320.000000,-1760.000000
59,80.000000,-1800.000000
60,-240.000000,-1880.000000
61,-560.000000,-1920.000000
62,-800.000000,-1960.000000
63,-1120.000000,-2000.000000
64,-1360.000000,-2000.000000
65,-1680.000000,-2000.000000
66,-1920.000000,-2040.000000
67,-2240.000000,-2040.000000
68,-2480.000000,-2000.000000
69,-2720.000000,-2000.000000
70,-2880.000000,-1960.000000
71,-3120.000000,-1960.000000
72,-3360.000000,-1880.000000
73,-3520.000000,-1840.000000
74,-3680.000000,-1800.000000
75,-3840.000000,-1720.000000
76,-4000.000000,-1640.000000
77,-4080.000000,-1560.000000
78,-4160.000000,-1480.000000
79,-4240.000000,-1400.000000
80,-4320.000000,-1320.000000
81,-4400.000000,-1200.000000
82,-4400.000000,-1080.000000
83,-4480.000000,-1000.000000
84,-4480.000000,-880.000000
85,-4480.000000,-760.000000
86,-4400.000000,-640.000000
87,-4320.000000,-520.000000
88,-4240.000000,-400.000000
89,-4160.000000,-280.000000
90,-4000.000000,-160.000000
91,-3840.000000,-40.000000
92,-3680.000000,120.000000
93,-3520.000000,240.000000
94,-3360.000000,360.000000
95,-3120.000000,480.000000
96,-2880.000000,600.000000
97,-2640.000000,720.000000
98,-2400.000000,840.000000
99,-2080.000000,960.000000
100,-1840.000000,1080.000000
101,-1520.000000,1160.000000
102,-1280.000000,1280.000000
103,-960.000000,1360.000000
104,-640.000000,1440.000000
105,-320.000000,1560.000000
106,0.000000,1600.000000
107,240.000000,1680.000000
108,560.000000,1760.000000
109,880.000000,1800.000000
110,1200.000000,1840.000000
111,1520.000000,1880.000000
112,1840.000000,1920.000000
113,2080.000000,1960.000000
114,2400.000000,1960.000000
115,2720.000000,1960.000000
116,2960.000000,1960.000000
117,3280.000000,1960.000000
118,3520.000000,1960.000000
119,3760.000000,1920.000000
120,4000.000000,1880.000000
121,4160.000000,1840.000000
122,4400.000000,1800.000000
123,4560.000000,1720.000000
124,4640.000000,1680.000000
125,4720.000000,1600.000000
126,4720.000000,1520.000000
127,4720.000000,1440.000000
128,4640.000000,1320.000000
129,4640.000000,1240.000000
130,4640.000000,1120.000000
131,4640.000000,1000.000000
132,4560.000000,880.000000
133,4560.000000,760.000000
134,4560.000000,600.000000
135,4560.000000,480.000000
136,4480.000000,360.000000
137,4400.000000,200.000000
138,4320.000000,80.000000
139,4240.000000,-40.000000
140,4080.000000,-200.000000
141,3920.000000,-320.000000
142,3680.000000,-480.000000
143,3520.000000,-600.000000
144,3280.000000,-720.000000
145,3040.000000,-840.000000
146,2800.000000,-960.000000
147,2560.000000,-1080.000000
148,2320.000000,-1200.000000
149,2000.000000,-1320.000000
150,1760.000000,-1440.000000
151,1440.000000,-1520.000000
152,1120.000000,-1640.000000
153,880.000000,-1720.000000
154,560.000000,-1800.000000
155,240.000000,-1880.000000
156,-80.000000,-1920.000000
157,-400.000000,-2000.000000
158,-720.000000,-2040.000000
159,-1040.000000,-2080.000000
160,-1280.000000,-2120.000000
161,-1600.000000,-2120.000000
162,-1920.000000,-2160.000000
163,-2160.000000,-2160.000000
164,-2480.000000,-2160.000000
165,-2720.000000,-2120.000000
166,-2960.000000,-2120.000000
167,-3200.000000,-2080.000000
168,-3440.000000,-2040.000000
169,-3600.000000,-2000.000000
170,-3840.000000,-1960.000000
171,-4000.000000,-1880.000000
172,-4160.000000,-1840.000000
173,-4320.000000,-1760.000000
174,-4400.000000,-1680.000000
175,-4560.000000,-1560.000000
176,-4720.000000,-1440.000000
177,-4800.000000,-1360.000000
178,-4960.000000,-1280.000000
179,-5040.000000,-1160.000000
180,-5120.000000,-1040.000000
181,-5200.000000,-920.000000
182,-5280.000000,-840.000000
183,-5360.000000,-720.000000
184,-5360.000000,-600.000000
185,-5360.000000,-480.000000
186,-5360.000000,-360.000000
187,-5360.000000,-200.000000
188,-5280.000000,-120.000000
189,-5280.000000,0.000000
190,-5120.000000,120.000000
191,-5040.000000,240.000000
192,-4800.000000,320.000000
193,-4640.000000,440.000000
194,-4400.000000,560.000000
195,-4160.000000,680.000000
196,-3840.000000,800.000000
197,-3520.000000,880.000000
198,-3200.000000,1000.000000
199,-2880.000000,1080.000000
200,-2560.000000,1160.000000
201,-2240.000000,1280.000000
202,-1920.000000,1360.000000
203,-1600.000000,1440.000000
204,-1200.000000,1520.000000
205,-880.000000,1600.000000
206,-560.000000,1680.000000
207,-240.000000,1720.000000
208,160.000000,1760.000000
209,480.000000,1840.000000
210,800.000000,1840.000000
211,1120.000000,1880.000000
212,1440.000000,1920.000000
213,1760.000000,1920.000000
214,2000.000000,1920.000000
215,2320.000000,1960.000000
216,2640.000000,1960.000000
217,2880.000000,1920.000000
218,3120.000000,1880.000000
219,3360.000000,1880.000000
220,3600.000000,1840.000000
221,3840.000000,1800.000000
222,4000.000000,1720.000000
223,4240.000000,1680.000000
224,4400.000000,1640.000000
225,4480.000000,1560.000000
226,4640.000000,1480.000000
227,4640.000000,1400.000000
228,4640.000000,1280.000000
229,4640.000000,1200.000000
230,4640.000000,1080.000000
231,4640.000000,960.000000
232,4560.000000,840.000000
233,4560.000000,720.000000
234,4560.000000,600.000000
235,4560.000000,480.000000
236,4480.000000,360.000000
237,4400.000000,240.000000
238,4320.000000,80.000000
239,4160.000000,-40.000000
240,4080.000000,-160.000000
241,3920.000000,-320.000000
242,3760.000000,-400.000000
243,3520.000000,-560.000000
244,3360.000000,-680.000000
245,3120.000000,-800.000000
246,2880.000000,-920.000000
247,2640.000000,-1040.000000
248,2400.000000,-1120.000000
249,2080.000000,-1240.000000
250,1840.000000,-1360.000000
251,1520.000000,-1440.000000
252,1280.000000,-1520.000000
253,960.000000,-1640.000000
254,720.000000,-1720.000000
255,400.000000,-1760.000000
256,80.000000,-1840.000000
257,-240.000000,-1880.000000
258,-560.000000,-1920.000000
259,-800.000000,-2000.000000
260,-1120.000000,-2000.000000
261,-1440.000000,-2040.000000
262,-1680.000000,-2040.000000
263,-1920.000000,-2080.000000
264,-2240.000000,-2080.000000
265,-2480.000000,-2040.000000
266,-2720.000000,-2040.000000
267,-2960.000000,-2000.000000
268,-3200.000000,-1960.000000
269,-3360.000000,-1960.000000
270,-3600.000000,-1880.000000
271,-3760.000000,-1800.000000
272,-3920.000000,-1760.000000
273,-4080.000000,-1680.000000
274,-4160.000000,-1600.000000
275,-4240.000000,-1560.000000
276,-4320.000000,-1440.000000
277,-4480.000000,-1360.000000
278,-4480.000000,-1240.000000
279,-4640.000000,-1160.000000
280,-4640.000000,-1040.000000
281,-4640.000000,-920.000000
282,-4720.000000,-800.000000
283,-4640.000000,-680.000000
284,-4640.000000,-560.000000
285,-4640.000000,-440.000000
286,-4560.000000,-320.000000
287,-4400.000000,-200.000000
288,-4320.000000,-80.000000
289,-4160.000000,40.000000
290,-3920.000000,160.000000
291,-3760.000000,280.000000
292,-3520.000000,440.000000
293,-3280.000000,560.000000
294,-3040.000000,680.000000
295,-2800.000000,800.000000
296,-2480.000000,920.000000
297,-2240.000000,1000.000000
298,-1920.000000,1120.000000
299,-1680.000000,1200.000000
300,-1360.000000,1320.000000
301,-1040.000000,1400.000000
302,-720.000000,1480.000000
303,-400.000000,1600.000000
304,-80.000000,1640.000000
305,240.000000,1720.000000
306,560.000000,1800.000000
307,880.000000,1840.000000
308,1200.000000,1880.000000
309,1520.000000,1920.000000
310,1840.000000,1960.000000
311,2160.000000,2000.000000
312,2400.000000,2000.000000
313,2720.000000,2000.000000
314,3040.000000,2000.000000
315,3280.000000,2000.000000
316,3520.000000,1960.000000
317,3760.000000,1920.000000
318,4000.000000,1920.000000
319,4240.000000,1840.000000
320,4400.000000,1800.000000
321,4560.000000,1760.000000
322,4640.000000,1680.000000
323,4720.000000,1600.000000
324,4720.000000,1520.000000
325,4720.000000,1440.000000
326,4640.000000,1320.000000
327,4640.000000,1240.000000
328,4640.000000,1120.000000
329,4640.000000,1000.000000
330,4560.000000,840.000000
331,4560.000000,720.000000
332,4560.000000,600.000000
333,4560.000000,440.000000
334,4480.000000,320.000000
335,4400.000000,200.000000
336,4320.000000,40.000000
337,4160.000000,-80.000000
338,4000.000000,-200.000000
339,3840.000000,-360.000000
340,3680.000000,-480.000000
341,3440.000000,-640.000000
342,3280.000000,-760.000000
343,3040.000000,-880.000000
344,2800.000000,-1000.000000
345,2480.000000,-1120.000000
346,2240.000000,-1240.000000
347,2000.000000,-1360.000000
348,1680.000000,-1480.000000
349,1360.000000,-1560.000000
350,1040.000000,-1640.000000
351,800.000000,-1760.000000
352,480.000000,-1800.000000
353,160.000000,-1880.000000
354,-160.000000,-1960.000000
355,-480.000000,-2000.000000
356,-800.000000,-2040.000000
357,-1120.000000,-2080.000000
358,-1360.000000,-2120.000000
359,-1680.000000,-2160.000000
360,-2000.000000,-2160.000000
361,-2240.000000,-2160.000000
362,-2560.000000,-2160.000000
363,-2800.000000,-2120.000000
364,-3040.000000,-2120.000000
365,-3280.000000,-2080.000000
366,-3520.000000,-2040.000000
367,-3680.000000,-2000.000000
368,-3920.000000,-1960.000000
369,-4080.000000,-1880.000000
370,-4240.000000,-1840.000000
371,-4320.000000,-1720.000000
372,-4480.000000,-1680.000000
373,-4640.000000,-1560.000000
374,-4800.000000,-1480.000000
375,-4880.000000,-1360.000000
376,-5040.000000,-1240.000000
377,-5120.000000,-1160.000000
378,-5200.000000,-1040.000000
379,-5280.000000,-920.000000
380,-5360.000000,-800.000000
381,-5440.000000,-680.000000
382,-5520.000000,-560.000000
383,-5520.000000,-440.000000
384,-5520.000000,-360.000000
385,-5520.000000,-200.000000
386,-5440.000000,-120.000000
387,-5440.000000,0.000000
388,-5360.000000,120.000000
389,-5200.000000,240.000000
390,-5040.000000,320.000000
391,-4880.000000,440.000000
392,-4640.000000,560.000000
393,-4400.000000,680.000000
394,-4160.000000,760.000000
395,-3840.000000,880.000000
396,-3520.000000,960.000000
397,-3200.000000,1040.000000
398,-2880.000000,1160.000000
399,-2480.000000,1240.000000
400,-2160.000000,1320.000000
401,-1840.000000,1400.000000
402,-1520.000000,1480.000000
403,-1120.000000,1560.000000
404,-800.000000,1640.000000
405,-480.000000,1680.000000
406,-160.000000,1720.000000
407,240.000000,1760.000000
408,560.000000,1800.000000
409,880.000000,1840.000000
410,1200.000000,1880.000000
411,1520.000000,1880.000000
412,1840.000000,1920.000000
413,2080.000000,1920.000000
414,2400.000000,1920.000000
415,2640.000000,1920.000000
416,2880.000000,1880.000000
417,3120.000000,1840.000000
418,3360.000000,1800.000000
419,3600.000000,1800.000000
420,3840.000000,1720.000000
421,4000.000000,1680.000000
422,4160.000000,1600.000000
423,4320.000000,1560.000000
424,4480.000000,1440.000000
425,4560.000000,1400.000000
426,4640.000000,1280.000000
427,4640.000000,1200.000000
428,4640.000000,1120.000000
429,4640.000000,1000.000000
430,4560.000000,920.000000
431,4560.000000,760.000000
432,4560.000000,640.000000
433,4560.000000,520.000000
434,4480.000000,400.000000
435,4480.000000,320.000000
436,4320.000000,160.000000
437,4240.000000,40.000000
438,4080.000000,-80.000000
439,3920.000000,-200.000000
440,3840.000000,-360.000000
441,3600.000000,-480.000000
442,3440.000000,-600.000000
443,3200.000000,-720.000000
444,2960.000000,-840.000000
445,2800.000000,-960.000000
446,2560.000000,-1080.000000
447,2240.000000,-1160.000000
448,2000.000000,-1280.000000
449,1680.000000,-1360.000000
450,1440.000000,-1480.000000
451,1200.000000,-1560.000000
452,880.000000,-1640.000000
453,560.000000,-1680.000000
454,320.000000,-1760.000000
455,0.000000,-1840.000000
456,-320.000000,-1880.000000
457,-560.000000,-1920.000000
458,-880.000000,-1960.000000
459,-1200.000000,-2000.000000
460,-1440.000000,-2000.000000
461,-1760.000000,-2000.000000
462,-2000.000000,-2000.000000
463,-2240.000000,-2000.000000
464,-2480.000000,-2000.000000
465,-2720.000000,-2000.000000
466,-2960.000000,-1960.000000
467,-3200.000000,-1920.000000
468,-3360.000000,-1880.000000
469,-3520.000000,-1840.000000
470,-3680.000000,-1760.000000
471,-3840.000000,-1720.000000
472,-4000.000000,-1640.000000
473,-4080.000000,-1560.000000
474,-4160.000000,-1480.000000
475,-4240.000000,-1400.000000
476,-4320.000000,-1320.000000
477,-4400.000000,-1160.000000
478,-4400.000000,-1080.000000
479,-4480.000000,-920.000000
480,-4400.000000,-840.000000
481,-4400.000000,-720.000000
482,-4400.000000,-640.000000
483,-4320.000000,-480.000000
484,-4240.000000,-360.000000
485,-4080.000000,-240.000000
486,-4000.000000,-120.000000
487,-3840.000000,0.000000
488,-3600.000000,120.000000
489,-3440.000000,280.000000
490,-3280.000000,400.000000
491,-3040.000000,480.000000
492,-2800.000000,640.000000
493,-2560.000000,760.000000
494,-2320.000000,880.000000
495,-2080.000000,960.000000
496,-1760.000000,1080.000000
497,-1520.000000,1200.000000
498,-1200.000000,1280.000000
499,-880.000000,1400.000000
500,-560.000000,1480.000000
501,-240.000000,1560.000000
502,80.000000,1640.000000
503,320.000000,1720.000000
504,640.000000,1760.000000
505,960.000000,1800.000000
506,1280.000000,1880.000000
507,1600.000000,1880.000000
508,1920.000000,1920.000000
509,2240.000000,1960.000000
510,2480.000000,1960.000000
511,2800.000000,1960.000000
512,3040.000000,1960.000000
513,3280.000000,1960.000000
514,3520.000000,1960.000000
515,3760.000000,1920.000000
516,4000.000000,1880.000000
517,4240.000000,1840.000000
518,4400.000000,1800.000000
519,4560.000000,1720.000000
520,4720.000000,1680.000000
521,4720.000000,1600.000000
522,4720.000000,1520.000000
523,4720.000000,1440.000000
524,4640.000000,1320.000000
525,4640.000000,1200.000000
526,4640.000000,1080.000000
527,4640.000000,960.000000
528,4560.000000,840.000000
529,4560.000000,720.000000
530,4560.000000,600.000000
531,4560.000000,480.000000
532,4480.000000,320.000000
533,4400.000000,160.000000
534,4320.000000,40.000000
535,4160.000000,-80.000000
536,4000.000000,-240.000000
537,3840.000000,-360.000000
538,3680.000000,-480.000000
539,3440.000000,-640.000000
540,3280.000000,-760.000000
541,3040.000000,-880.000000
542,2800.000000,-1040.000000
543,2480.000000,-1120.000000
544,2240.000000,-1240.000000
545,1920.000000,-1360.000000
546,1680.000000,-1440.000000
547,1360.000000,-1560.000000
548,1120.000000,-1640.000000
549,800.000000,-1720.000000
550,480.000000,-1800.000000
551,160.000000,-1880.000000
552,-160.000000,-1920.000000
553,-480.000000,-2000.000000
554,-800.000000,-2040.000000
555,-1120.000000,-2040.000000
556,-1360.000000,-2120.000000
557,-1680.000000,-2120.000000
558,-2000.000000,-2160.000000
559,-2240.000000,-2160.000000
560,-2480.000000,-2160.000000
561,-2800.000000,-2160.000000
562,-3040.000000,-2120.000000
563,-3280.000000,-2080.000000
564,-3440.000000,-2040.000000
565,-3680.000000,-2000.000000
566,-3920.000000,-1920.000000
567,-4000.000000,-1880.000000
568,-4160.000000,-1840.000000
569,-4320.000000,-1720.000000
570,-4480.000000,-1640.000000
571,-4560.000000,-1560.000000
572,-4720.000000,-1440.000000
573,-4880.000000,-1360.000000
574,-4960.000000,-1240.000000
575,-5040.000000,-1160.000000
576,-5120.000000,-1040.000000
577,-5200.000000,-920.000000
578,-5280.000000,-800.000000
579,-5280.000000,-680.000000
580,-5360.000000,-560.000000
581,-5360.000000,-440.000000
582,-5360.000000,-320.000000
583,-5360.000000,-200.000000
584,-5280.000000,-80.000000
585,-5200.000000,40.000000
586,-5120.000000,160.000000
587,-4960.000000,240.000000
588,-4800.000000,360.000000
589,-4560.000000,480.000000
590,-4320.000000,600.000000
591,-4000.000000,720.000000
