Channel              :,CH1,CH2
Frequency            :,2.533KHz,2.530KHz
Period               :,0.395ms,0.395ms
PK-PK                :,10.16V,4.240V
Average              :,-83.89mV,-56.00mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-4000.000000,0.000000
2,-3840.000000,120.000000
3,-3600.000000,240.000000
4,-3440.000000,400.000000
5,-3200.000000,520.000000
6,-2960.000000,640.000000
7,-2720.000000,760.000000
8,-2480.000000,880.000000
9,-2160.000000,1000.000000
10,-1920.000000,1080.000000
11,-1600.000000,1200.000000
12,-1280.000000,1280.000000
13,-1040.000000,1400.000000
14,-720.000000,1480.000000
15,-400.000000,1560.000000
16,-80.000000,1640.000000
17,240.000000,1720.000000
18,560.000000,1760.000000
19,880.000000,1840.000000
20,1200.000000,1880.000000
21,1520.000000,1920.000000
22,1840.000000,1960.000000
23,2160.000000,1960.000000
24,2480.000000,2000.000000
25,2720.000000,2000.000000
26,3040.000000,2000.000000
27,3280.000000,2000.000000
28,3520.000000,1960.000000
29,3760.000000,1920.000000
30,4000.000000,1920.000000
31,4240.000000,1880.000000
32,4400.000000,1800.000000
33,4640.000000,1760.000000
34,4720.000000,1720.000000
35,4720.000000,1640.000000
36,4720.000000,1520.000000
37,4720.000000,1440.000000
38,4640.000000,1360.000000
39,4640.000000,1240.000000
40,4640.000000,1120.000000
41,4640.000000,1000.000000
42,4560.000000,880.000000
43,4560.000000,760.000000
44,4560.000000,600.000000
45,4480.000000,480.000000
46,4480.000000,320.000000
47,4400.000000,200.000000
48,4320.000000,80.000000
49,4160.000000,-80.000000
50,4000.000000,-200.000000
51,3840.000000,-360.000000
52,3680.000000,-480.000000
53,3520.000000,-600.000000
54,3280.000000,-760.000000
55,3040.000000,-880.000000
56,2800.000000,-1000.000000
57,2560.000000,-1120.000000
58,2320.000000,-1240.000000
59,2000.000000,-1360.000000
60,1760.000000,-1440.000000
61,1440.000000,-1560.000000
62,1120.000000,-1640.000000
63,800.000000,-1720.000000
64,480.000000,-1800.000000
65,160.000000,-1880.000000
66,-80.000000,-1960.000000
67,-400.000000,-2000.000000
68,-720.000000,-2040.000000
69,-1040.000000,-2080.000000
70,-1360.000000,-2120.000000
71,-1680.000000,-2160.000000
72,-1920.000000,-2160.000000
73,-2240.000000,-2160.000000
74,-2480.000000,-2160.000000
75,-2720.000000,-2160.000000
76,-3040.000000,-2120.000000
77,-3200.000000,-2080.000000
