Channel              :,CH1,CH2
Frequency            :,2.556KHz,2.556KHz
Period               :,0.391ms,0.391ms
PK-PK                :,9.760V,4.320V
Average              :,-100.3mV,-54.42mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,4080.000000,-160.000000
2,3920.000000,-280.000000
3,3760.000000,-440.000000
4,3600.000000,-560.000000
5,3360.000000,-680.000000
6,3200.000000,-840.000000
7,2960.000000,-960.000000
8,2720.000000,-1080.000000
9,2400.000000,-1200.000000
10,2160.000000,-1320.000000
11,1840.000000,-1440.000000
12,1600.000000,-1520.000000
13,1280.000000,-1600.000000
14,960.000000,-1720.000000
15,640.000000,-1800.000000
16,320.000000,-1880.000000
17,80.000000,-1920.000000
18,-240.000000,-2000.000000
19,-560.000000,-2040.000000
20,-880.000000,-2080.000000
21,-1200.000000,-2160.000000
22,-1520.000000,-2160.000000
23,-1760.000000,-2160.000000
24,-2080.000000,-2160.000000
25,-2320.000000,-2160.000000
26,-2560.000000,-2160.000000
27,-2880.000000,-2120.000000
28,-3120.000000,-2080.000000
29,-3360.000000,-2080.000000
30,-3520.000000,-2000.000000
31,-3760.000000,-2000.000000
32,-3920.000000,-1920.000000
33,-4080.000000,-1840.000000
34,-4240.000000,-1760.000000
35,-4400.000000,-1680.000000
36,-4480.000000,-1600.000000
37,-4560.000000,-1520.000000
38,-4720.000000,-1400.000000
39,-4800.000000,-1320.000000
40,-4880.000000,-1200.000000
41,-4960.000000,-1080.000000
42,-5040.000000,-960.000000
43,-5040.000000,-840.000000
44,-5040.000000,-720.000000
45,-5040.000000,-600.000000
46,-5040.000000,-440.000000
47,-5040.000000,-360.000000
48,-4960.000000,-240.000000
49,-4880.000000,-120.000000
50,-4720.000000,40.000000
51,-4560.000000,160.000000
52,-4320.000000,280.000000
53,-4080.000000,400.000000
54,-3840.000000,520.000000
55,-3600.000000,640.000000
56,-3360.000000,760.000000
57,-3040.000000,880.000000
58,-2720.000000,1000.000000
59,-2480.000000,1120.000000
60,-2160.000000,1200.000000
61,-1840.000000,1320.000000
62,-1520.000000,1440.000000
63,-1120.000000,1520.000000
64,-800.000000,1600.000000
65,-480.000000,1680.000000
66,-160.000000,1720.000000
67,240.000000,1800.000000
68,560.000000,1880.000000
69,880.000000,1920.000000
70,1200.000000,1960.000000
71,1520.000000,2000.000000
72,1840.000000,2000.000000
73,2160.000000,2040.000000
74,2480.000000,2040.000000
75,2800.000000,2040.000000
76,3120.000000,2040.000000
77,3360.000000,2040.000000
78,3680.000000,2000.000000
79,3920.000000,1960.000000
80,4080.000000,1920.000000
81,4320.000000,1880.000000
82,4560.000000,1840.000000
83,4640.000000,1760.000000
84,4640.000000,1680.000000
85,4640.000000,1640.000000
86,4640.000000,1520.000000
87,4640.000000,1400.000000
88,4560.000000,1320.000000
89,4560.000000,1160.000000
90,4560.000000,1040.000000
91,4480.000000,920.000000
92,4480.000000,800.000000
93,4480.000000,680.000000
94,4480.000000,520.000000
95,4400.000000,400.000000
96,4400.000000,240.000000
97,4320.000000,120.000000
98,4160.000000,-80.000000
99,4080.000000,-160.000000
100,3920.000000,-320.000000
101,3760.000000,-440.000000
102,3520.000000,-600.000000
103,3360.000000,-720.000000
104,3120.000000,-840.000000
105,2880.000000,-960.000000
106,2640.000000,-1080.000000
107,2400.000000,-1240.000000
108,2080.000000,-1320.000000
109,1840.000000,-1440.000000
110,1520.000000,-1560.000000
111,1200.000000,-1640.000000
112,880.000000,-1720.000000
113,640.000000,-1800.000000
114,320.000000,-1880.000000
115,0.000000,-1960.000000
116,-320.000000,-2000.000000
117,-640.000000,-2040.000000
118,-960.000000,-2080.000000
119,-1200.000000,-2120.000000
120,-1520.000000,-2160.000000
121,-1840.000000,-2160.000000
122,-2080.000000,-2160.000000
123,-2400.000000,-2160.000000
124,-2640.000000,-2160.000000
125,-2960.000000,-2120.000000
126,-3120.000000,-2120.000000
127,-3360.000000,-2080.000000
128,-3600.000000,-2040.000000
129,-3760.000000,-1960.000000
130,-4000.000000,-1920.000000
131,-4160.000000,-1840.000000
132,-4240.000000,-1760.000000
133,-4400.000000,-1680.000000
134,-4480.000000,-1600.000000
135,-4640.000000,-1480.000000
136,-4720.000000,-1400.000000
137,-4800.000000,-1280.000000
138,-4880.000000,-1160.000000
139,-4960.000000,-1040.000000
140,-5040.000000,-920.000000
141,-5040.000000,-840.000000
142,-5040.000000,-680.000000
143,-5120.000000,-560.000000
144,-5040.000000,-440.000000
145,-5040.000000,-320.000000
146,-4960.000000,-200.000000
147,-4800.000000,-80.000000
148,-4720.000000,40.000000
149,-4480.000000,160.000000
150,-4320.000000,280.000000
151,-4080.000000,440.000000
152,-3840.000000,560.000000
153,-3520.000000,680.000000
154,-3280.000000,800.000000
155,-2960.000000,920.000000
156,-2720.000000,1000.000000
157,-2400.000000,1120.000000
158,-2080.000000,1240.000000
159,-1760.000000,1320.000000
160,-1440.000000,1440.000000
161,-1040.000000,1520.000000
162,-720.000000,1600.000000
163,-400.000000,1680.000000
164,-80.000000,1760.000000
165,240.000000,1800.000000
166,640.000000,1880.000000
167,960.000000,1920.000000
168,1280.000000,1960.000000
169,1600.000000,2000.000000
170,1920.000000,2040.000000
171,2240.000000,2040.000000
172,2560.000000,2040.000000
173,2880.000000,2040.000000
174,3120.000000,2040.000000
175,3440.000000,2000.000000
176,3680.000000,2000.000000
177,3920.000000,1960.000000
178,4160.000000,1920.000000
179,4400.000000,1880.000000
180,4560.000000,1800.000000
181,4640.000000,1760.000000
182,4640.000000,1680.000000
183,4640.000000,1600.000000
184,4640.000000,1480.000000
185,4560.000000,1400.000000
186,4560.000000,1280.000000
187,4560.000000,1160.000000
188,4560.000000,1040.000000
189,4480.000000,920.000000
190,4480.000000,760.000000
191,4480.000000,640.000000
192,4480.000000,480.000000
193,4400.000000,360.000000
194,4400.000000,200.000000
195,4320.000000,80.000000
196,4160.000000,-40.000000
197,4000.000000,-200.000000
198,3840.000000,-360.000000
199,3680.000000,-480.000000
200,3520.000000,-640.000000
201,3280.000000,-760.000000
202,3040.000000,-880.000000
203,2800.000000,-1000.000000
204,2560.000000,-1120.000000
205,2320.000000,-1240.000000
206,2080.000000,-1360.000000
207,1760.000000,-1480.000000
208,1440.000000,-1560.000000
209,1200.000000,-1680.000000
210,880.000000,-1720.000000
211,560.000000,-1840.000000
212,240.000000,-1880.000000
213,-80.000000,-1960.000000
214,-400.000000,-2000.000000
215,-720.000000,-2040.000000
216,-960.000000,-2080.000000
217,-1280.000000,-2120.000000
218,-1600.000000,-2160.000000
219,-1920.000000,-2160.000000
220,-2160.000000,-2160.000000
221,-2480.000000,-2160.000000
222,-2720.000000,-2160.000000
223,-2960.000000,-2160.000000
224,-3200.000000,-2080.000000
225,-3440.000000,-2080.000000
226,-3600.000000,-2000.000000
227,-3840.000000,-1960.000000
228,-4000.000000,-1880.000000
229,-4160.000000,-1840.000000
230,-4320.000000,-1760.000000
231,-4400.000000,-1680.000000
232,-4560.000000,-1560.000000
233,-4640.000000,-1480.000000
234,-4720.000000,-1360.000000
235,-4800.000000,-1240.000000
236,-4960.000000,-1160.000000
237,-4960.000000,-1040.000000
238,-5040.000000,-920.000000
239,-5040.000000,-800.000000
